country	sample	age	period	type	longitude	latitude	data	color
EURn1_SE	SUp69	0	present	present	17.643	59.858	chip	NA
EURn1_SE	SUp71	0	present	present	17.643	59.858	chip	NA
EURn1_SE	SUp75	0	present	present	17.643	59.858	chip	NA
EURn1_SE	SUp77	0	present	present	17.643	59.858	chip	NA
EURn1_SE	SUp83	0	present	present	17.643	59.858	chip	NA
EURn1_SE	SUp87	0	present	present	17.643	59.858	chip	NA
EURn1_SE	SUp91	0	present	present	17.643	59.858	chip	NA
EURw2_DE	D_Do_C06	0	present	present	7.383	51.574	chip	NA
EURw2_DE	D01	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D02	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D03	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D04	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D05	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D06	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D07	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D08	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D09	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D10	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D11	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D12	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D13	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D16	0	present	present	9.198	47.676	chip	NA
EURw2_DE	D17	0	present	present	9.198	47.676	chip	NA
EURe1_PL	P01	0	present	present	21.012	52.229	chip	NA
EURe1_PL	P02	0	present	present	21.012	52.229	chip	NA
EURe1_PL	P03	0	present	present	21.012	52.229	chip	NA
EURe1_PL	P05	0	present	present	21.012	52.229	chip	NA
EURe1_PL	P10	0	present	present	21.012	52.229	chip	NA
EURe1_PL	P11	0	present	present	21.012	52.229	chip	NA
EURe1_PL	P12	0	present	present	21.012	52.229	chip	NA
EURe1_PL	P13	0	present	present	21.012	52.229	chip	NA
EURe1_PL	P14	0	present	present	21.012	52.229	chip	NA
EURe1_PL	P15	0	present	present	21.012	52.229	chip	NA
EURw2_DE	428V	0	present	present	7.6657	44.4611	chip	NA
EURw2_DE	462V	0	present	present	7.6657	44.4611	chip	NA
HZ	HF13584	0	present	present	15.439504	47.070714	chip	NA
HZ	HF73810	0	present	present	15.439504	47.070714	chip	NA
HZ	HF73830	0	present	present	15.439504	47.070714	chip	NA
HZ	HF73837	0	present	present	15.439504	47.070714	chip	NA
HZ	HF73809	0	present	present	15.439504	47.070714	chip	NA
